Category,Problem,Skin_or_Hair_Type,Symptoms,Ingredients,Preparation,Usage,Frequency,Precautions,text
Skincare,Pigmentation,Normal,Roughness; Dull Appearance,Egg Yolk; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds,symptoms roughness dull appearance ingredients egg yolk honey preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 2 times week precautions apply open wounds
Skincare,Sensitive Skin,Dry,Flaky Skin; Dull Appearance,Castor Oil; Potato Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs,symptoms flaky skin dull appearance ingredients castor oil potato juice preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency daily precautions discontinue irritation occurs
Skincare,Dark Circles,Oily,Excess Oil; Uneven Tone,Lemon Juice; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use,symptoms excess oil uneven tone ingredients lemon juice multani mitti preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 3 times week precautions patch test use
Skincare,Whiteheads,All,Roughness; Uneven Tone,Lemon Juice; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds,symptoms roughness uneven tone ingredients lemon juice coconut oil preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 3 times week precautions apply open wounds
Skincare,Rashes,Combination,Flaky Skin; Dark Spots,Castor Oil; Potato Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs,symptoms flaky skin dark spots ingredients castor oil potato juice preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency daily precautions discontinue irritation occurs
Skincare,Open Pores,Sensitive,Dry Texture; Itching,Fenugreek Seeds; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs,symptoms dry texture itching ingredients fenugreek seeds yogurt preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency daily precautions discontinue irritation occurs
Skincare,Open Pores,Dry,Redness; Excess Oil,Banana; Lemon Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs,symptoms redness excess oil ingredients banana lemon juice preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency daily precautions discontinue irritation occurs
Skincare,Pigmentation,Normal,Redness; Inflammation,Coconut Oil; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application,symptoms redness inflammation ingredients coconut oil aloe vera preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 2 times week precautions avoid sun exposure application
Skincare,Open Pores,Normal,Dull Appearance; Breakage,Lemon Juice; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs,symptoms dull appearance breakage ingredients lemon juice olive oil preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 2 times week precautions discontinue irritation occurs
Skincare,Sensitive Skin,Dry,Roughness; Dull Appearance,Coconut Oil; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application,symptoms roughness dull appearance ingredients coconut oil egg yolk preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency daily precautions avoid sun exposure application
Skincare,Wrinkles,Sensitive,Dry Texture; Excess Oil,Gram Flour; Papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application,symptoms dry texture excess oil ingredients gram flour papaya preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency alternate days precautions avoid sun exposure application
Skincare,Dry Skin,Dry,Roughness; Flaky Skin,Papaya; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use,symptoms roughness flaky skin ingredients papaya multani mitti preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency daily precautions patch test use
Skincare,Wrinkles,Sensitive,Itching; Roughness,Multani Mitti; Papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds,symptoms itching roughness ingredients multani mitti papaya preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency alternate days precautions apply open wounds
Skincare,Whiteheads,Dry,Dull Appearance; Itching,Multani Mitti; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application,symptoms dull appearance itching ingredients multani mitti curd preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 3 times week precautions avoid sun exposure application
Skincare,Wrinkles,Oily,Itching; Breakage,Papaya; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application,symptoms itching breakage ingredients papaya aloe vera preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency alternate days precautions avoid sun exposure application
Skincare,Pigmentation,Dry,Breakage; Excess Oil,Lemon Juice; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use,symptoms breakage excess oil ingredients lemon juice egg yolk preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency weekly precautions patch test use
Skincare,Blackheads,Combination,Breakage; Dry Texture,Castor Oil; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Discontinue if irritation occurs,symptoms breakage dry texture ingredients castor oil rose water preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 3 times week precautions discontinue irritation occurs
Skincare,Dark Circles,Normal,Excess Oil; Breakage,Egg Yolk; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Discontinue if irritation occurs,symptoms excess oil breakage ingredients egg yolk rose water preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency alternate days precautions discontinue irritation occurs
Skincare,Wrinkles,Normal,Excess Oil; Dark Spots,Coconut Oil; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Consult dermatologist if severe condition,symptoms excess oil dark spots ingredients coconut oil curd preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency alternate days precautions consult dermatologist severe condition
Skincare,Dry Skin,Normal,Roughness; Excess Oil,Multani Mitti; Gram Flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds,symptoms roughness excess oil ingredients multani mitti gram flour preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency alternate days precautions apply open wounds
Skincare,Blackheads,Normal,Excess Oil; Redness,Yogurt; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Discontinue if irritation occurs,symptoms excess oil redness ingredients yogurt onion juice preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency alternate days precautions discontinue irritation occurs
Skincare,Acne,Combination,Inflammation; Dry Texture,Green Tea; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application,symptoms inflammation dry texture ingredients green tea olive oil preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 2 times week precautions avoid sun exposure application
Skincare,Dull Skin,Normal,Redness; Itching,Yogurt; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition,symptoms redness itching ingredients yogurt olive oil preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency weekly precautions consult dermatologist severe condition
Skincare,Whiteheads,Sensitive,Flaky Skin; Itching,Coconut Oil; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application,symptoms flaky skin itching ingredients coconut oil honey preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 3 times week precautions avoid sun exposure application
Skincare,Dry Skin,Sensitive,Flaky Skin; Inflammation,Multani Mitti; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds,symptoms flaky skin inflammation ingredients multani mitti banana preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency alternate days precautions apply open wounds
Skincare,Pigmentation,Oily,Dry Texture; Dark Spots,Egg Yolk; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition,symptoms dry texture dark spots ingredients egg yolk rose water preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency weekly precautions consult dermatologist severe condition
Skincare,Sensitive Skin,Combination,Breakage; Inflammation,Lemon Juice; Neem Powder,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use,symptoms breakage inflammation ingredients lemon juice neem powder preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency weekly precautions patch test use
Skincare,Sun Tan,Sensitive,Itching; Redness,Olive Oil; Castor Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Avoid sun exposure after application,symptoms itching redness ingredients olive oil castor oil preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency weekly precautions avoid sun exposure application
Skincare,Rashes,Dry,Inflammation; Flaky Skin,Curd; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Consult dermatologist if severe condition,symptoms inflammation flaky skin ingredients curd olive oil preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency alternate days precautions consult dermatologist severe condition
Skincare,Blackheads,All,Inflammation; Redness,Papaya; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use,symptoms inflammation redness ingredients papaya banana preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency weekly precautions patch test use
Skincare,Whiteheads,Sensitive,Excess Oil; Inflammation,Fenugreek Seeds; Turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use,symptoms excess oil inflammation ingredients fenugreek seeds turmeric preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency alternate days precautions patch test use
Skincare,Wrinkles,Dry,Dull Appearance; Itching,Potato Juice; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do patch test before use,symptoms dull appearance itching ingredients potato juice coconut oil preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 2 times week precautions patch test use
Skincare,Whiteheads,Dry,Uneven Tone; Roughness,Potato Juice; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application,symptoms uneven tone roughness ingredients potato juice egg yolk preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 2 times week precautions avoid sun exposure application
Skincare,Sensitive Skin,All,Breakage; Dry Texture,Curd; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds,symptoms breakage dry texture ingredients curd banana preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 3 times week precautions apply open wounds
Skincare,Dark Circles,Normal,Redness; Breakage,Neem Powder; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application,symptoms redness breakage ingredients neem powder rose water preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 2 times week precautions avoid sun exposure application
Skincare,Open Pores,Combination,Flaky Skin; Redness,Rose Water; Green Tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Consult dermatologist if severe condition,symptoms flaky skin redness ingredients rose water green tea preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 2 times week precautions consult dermatologist severe condition
Skincare,Blackheads,Dry,Itching; Redness,Rose Water; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition,symptoms itching redness ingredients rose water yogurt preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 3 times week precautions consult dermatologist severe condition
Skincare,Oily Skin,Oily,Excess Oil; Flaky Skin,Gram Flour; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Discontinue if irritation occurs,symptoms excess oil flaky skin ingredients gram flour multani mitti preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 3 times week precautions discontinue irritation occurs
Skincare,Pigmentation,Dry,Dry Texture; Inflammation,Turmeric; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition,symptoms dry texture inflammation ingredients turmeric curd preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency daily precautions consult dermatologist severe condition
Skincare,Whiteheads,Sensitive,Inflammation; Itching,Papaya; Potato Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application,symptoms inflammation itching ingredients papaya potato juice preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 3 times week precautions avoid sun exposure application
Skincare,Whiteheads,Combination,Uneven Tone; Breakage,Lemon Juice; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Discontinue if irritation occurs,symptoms uneven tone breakage ingredients lemon juice onion juice preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency alternate days precautions discontinue irritation occurs
Skincare,Pigmentation,Combination,Uneven Tone; Flaky Skin,Curd; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds,symptoms uneven tone flaky skin ingredients curd rose water preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency daily precautions apply open wounds
Skincare,Sun Tan,Combination,Itching; Redness,Potato Juice; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition,symptoms itching redness ingredients potato juice coconut oil preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency daily precautions consult dermatologist severe condition
Skincare,Whiteheads,Sensitive,Excess Oil; Breakage,Onion Juice; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application,symptoms excess oil breakage ingredients onion juice honey preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 2 times week precautions avoid sun exposure application
Skincare,Sensitive Skin,Combination,Uneven Tone; Dry Texture,Olive Oil; Gram Flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application,symptoms uneven tone dry texture ingredients olive oil gram flour preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 3 times week precautions avoid sun exposure application
Skincare,Dry Skin,Normal,Excess Oil; Roughness,Papaya; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition,symptoms excess oil roughness ingredients papaya olive oil preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency weekly precautions consult dermatologist severe condition
Skincare,Pigmentation,Sensitive,Uneven Tone; Itching,Olive Oil; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use,symptoms uneven tone itching ingredients olive oil egg yolk preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency alternate days precautions patch test use
Skincare,Blackheads,Dry,Dry Texture; Flaky Skin,Fenugreek Seeds; Papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use,symptoms dry texture flaky skin ingredients fenugreek seeds papaya preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency weekly precautions patch test use
Skincare,Dry Skin,Sensitive,Breakage; Redness,Castor Oil; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do not apply on open wounds,symptoms breakage redness ingredients castor oil multani mitti preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency weekly precautions apply open wounds
Skincare,Dark Circles,Sensitive,Dry Texture; Inflammation,Yogurt; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition,symptoms dry texture inflammation ingredients yogurt rose water preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 3 times week precautions consult dermatologist severe condition
Skincare,Sun Tan,All,Dull Appearance; Uneven Tone,Neem Powder; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use,symptoms dull appearance uneven tone ingredients neem powder yogurt preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency daily precautions patch test use
Skincare,Blackheads,Oily,Dark Spots; Roughness,Honey; Potato Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application,symptoms dark spots roughness ingredients honey potato juice preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency daily precautions avoid sun exposure application
Skincare,Dull Skin,Sensitive,Breakage; Dark Spots,Yogurt; Turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application,symptoms breakage dark spots ingredients yogurt turmeric preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency alternate days precautions avoid sun exposure application
Skincare,Wrinkles,Dry,Uneven Tone; Dark Spots,Green Tea; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use,symptoms uneven tone dark spots ingredients green tea honey preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency alternate days precautions patch test use
Skincare,Rashes,Dry,Inflammation; Roughness,Neem Powder; Green Tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds,symptoms inflammation roughness ingredients neem powder green tea preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 3 times week precautions apply open wounds
Skincare,Sensitive Skin,Sensitive,Excess Oil; Flaky Skin,Rose Water; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use,symptoms excess oil flaky skin ingredients rose water fenugreek seeds preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency weekly precautions patch test use
Skincare,Pigmentation,Combination,Dark Spots; Flaky Skin,Fenugreek Seeds; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs,symptoms dark spots flaky skin ingredients fenugreek seeds banana preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 2 times week precautions discontinue irritation occurs
Skincare,Dry Skin,Combination,Flaky Skin; Roughness,Aloe Vera; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition,symptoms flaky skin roughness ingredients aloe vera olive oil preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency daily precautions consult dermatologist severe condition
Skincare,Acne,Dry,Roughness; Flaky Skin,Castor Oil; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use,symptoms roughness flaky skin ingredients castor oil yogurt preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency alternate days precautions patch test use
Skincare,Pigmentation,Dry,Inflammation; Roughness,Gram Flour; Turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs,symptoms inflammation roughness ingredients gram flour turmeric preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency daily precautions discontinue irritation occurs
Skincare,Blackheads,Combination,Uneven Tone; Redness,Olive Oil; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition,symptoms uneven tone redness ingredients olive oil coconut oil preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency daily precautions consult dermatologist severe condition
Skincare,Dull Skin,Combination,Excess Oil; Inflammation,Lemon Juice; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs,symptoms excess oil inflammation ingredients lemon juice aloe vera preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 2 times week precautions discontinue irritation occurs
Skincare,Acne,Normal,Dark Spots; Uneven Tone,Potato Juice; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application,symptoms dark spots uneven tone ingredients potato juice multani mitti preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 2 times week precautions avoid sun exposure application
Skincare,Rashes,All,Dark Spots; Roughness,Curd; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Consult dermatologist if severe condition,symptoms dark spots roughness ingredients curd fenugreek seeds preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency alternate days precautions consult dermatologist severe condition
Skincare,Blackheads,All,Roughness; Excess Oil,Castor Oil; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition,symptoms roughness excess oil ingredients castor oil banana preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency daily precautions consult dermatologist severe condition
Skincare,Blackheads,All,Dark Spots; Inflammation,Yogurt; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition,symptoms dark spots inflammation ingredients yogurt olive oil preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency weekly precautions consult dermatologist severe condition
Skincare,Dull Skin,Sensitive,Itching; Breakage,Green Tea; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs,symptoms itching breakage ingredients green tea multani mitti preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency weekly precautions discontinue irritation occurs
Skincare,Oily Skin,Sensitive,Dry Texture; Roughness,Rose Water; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Consult dermatologist if severe condition,symptoms dry texture roughness ingredients rose water coconut oil preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency alternate days precautions consult dermatologist severe condition
Skincare,Blackheads,All,Flaky Skin; Dark Spots,Aloe Vera; Potato Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs,symptoms flaky skin dark spots ingredients aloe vera potato juice preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency weekly precautions discontinue irritation occurs
Skincare,Wrinkles,Dry,Redness; Flaky Skin,Fenugreek Seeds; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use,symptoms redness flaky skin ingredients fenugreek seeds banana preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 3 times week precautions patch test use
